suite,dataset,metric,before_fix,pr_branch_main_plus_fixes,leaderboard,pr_branch_minus_leaderboard
image,A-OKVQA,hit@1,67.20,72.60,72.90,-0.30
image,CIRR,hit@1,56.60,74.70,74.90,-0.20
image,ChartQA,hit@1,70.20,74.60,74.30,+0.30
image,Country211,hit@1,25.10,27.60,27.30,+0.30
image,DocVQA,hit@1,95.10,96.20,96.30,-0.10
image,EDIS,hit@1,88.60,96.40,96.30,+0.10
image,FashionIQ,hit@1,32.00,44.00,44.50,-0.50
image,GQA,hit@1,88.50,92.50,92.60,-0.10
image,HatefulMemes,hit@1,67.50,77.40,77.50,-0.10
image,ImageNet-1K,hit@1,75.10,82.20,81.90,+0.30
image,ImageNet-A,hit@1,61.70,77.30,77.10,+0.20
image,ImageNet-R,hit@1,91.80,94.10,93.90,+0.20
image,InfographicsVQA,hit@1,81.60,87.90,88.40,-0.50
image,MSCOCO,hit@1,75.50,86.00,86.30,-0.30
image,MSCOCO_i2t,hit@1,73.50,79.60,79.10,+0.50
image,MSCOCO_t2i,hit@1,74.40,80.90,81.10,-0.20
image,N24News,hit@1,63.80,80.40,80.60,-0.20
image,NIGHTS,hit@1,68.10,72.90,72.70,+0.20
image,OK-VQA,hit@1,74.70,78.00,77.80,+0.20
image,OVEN,hit@1,70.20,79.10,79.20,-0.10
image,ObjectNet,hit@1,78.40,80.40,79.90,+0.50
image,Place365,hit@1,38.20,48.10,47.60,+0.50
image,RefCOCO,hit@1,93.90,95.80,95.70,+0.10
image,RefCOCO-Matching,hit@1,93.60,90.90,91.10,-0.20
image,SUN397,hit@1,65.00,82.90,82.70,+0.20
image,ScienceQA,hit@1,75.30,81.00,81.00,+0.00
image,TextVQA,hit@1,90.20,92.60,92.80,-0.20
image,VOC2007,hit@1,84.80,93.30,93.40,-0.10
image,VisDial,hit@1,66.50,87.40,87.60,-0.20
image,Visual7W,hit@1,65.90,70.60,70.90,-0.30
image,Visual7W-Pointing,hit@1,87.90,95.90,96.10,-0.20
image,VisualNews_i2t,hit@1,81.90,85.10,85.70,-0.60
image,VisualNews_t2i,hit@1,75.60,81.20,81.10,+0.10
image,VizWiz,hit@1,59.30,64.80,64.40,+0.40
image,WebQA,hit@1,90.00,91.80,91.80,+0.00
image,Wiki-SS-NQ,hit@1,81.10,88.00,87.90,+0.10
image,MEAN,hit@1,73.02,80.12,80.12,-0.01
image,N,hit@1,36,36,36,
video,ActivityNetQA,hit@1,80.00,83.30,80.10,+3.20
video,Breakfast,hit@1,39.49,64.20,64.67,-0.47
video,Charades-STA,hit@1,26.55,33.43,34.11,-0.68
video,DiDeMo,hit@1,45.22,65.24,66.04,-0.80
video,EgoSchema,hit@1,65.20,68.40,69.00,-0.60
video,HMDB51,hit@1,75.30,86.80,83.40,+3.40
video,K700,hit@1,51.90,67.50,67.60,-0.10
video,MSR-VTT,hit@1,50.60,59.50,58.20,+1.30
video,MSVD,hit@1,72.69,76.57,75.67,+0.90
video,MVBench,hit@1,64.98,68.27,66.90,+1.37
video,MomentSeeker,hit@1,46.67,54.37,54.93,-0.56
video,NExTQA,hit@1,72.48,75.74,76.19,-0.45
video,QVHighlight,hit@1,71.28,80.06,79.22,+0.84
video,SmthSmthV2,hit@1,73.50,81.50,81.20,+0.30
video,UCF101,hit@1,85.50,95.30,95.10,+0.20
video,VATEX,hit@1,44.95,54.98,54.87,+0.11
video,Video-MME,hit@1,55.63,62.44,62.63,-0.19
video,YouCook2,hit@1,31.77,39.57,38.85,+0.72
video,MEAN,hit@1,58.54,67.62,67.15,+0.47
video,N,hit@1,18,18,18,
visdoc,MMLongBench-doc,ndcg_linear@5,53.87,58.40,58.29,+0.11
visdoc,MMLongBench-page-fixed,ndcg_linear@5,,59.79,60.29,-0.50
visdoc,ViDoRe_arxivqa,ndcg_linear@5,79.41,86.56,87.00,-0.44
visdoc,ViDoRe_biomedical_lectures_v2_multilingual,ndcg_linear@5,60.80,71.41,71.59,-0.18
visdoc,ViDoRe_docvqa,ndcg_linear@5,46.26,53.79,54.02,-0.23
visdoc,ViDoRe_economics_reports_v2_multilingual,ndcg_linear@5,50.60,66.02,67.18,-1.16
visdoc,ViDoRe_esg_reports_human_labeled_v2,ndcg_linear@5,54.91,68.86,71.39,-2.53
visdoc,ViDoRe_esg_reports_v2_multilingual,ndcg_linear@5,50.75,69.00,69.28,-0.28
visdoc,ViDoRe_infovqa,ndcg_linear@5,85.58,90.96,90.86,+0.10
visdoc,ViDoRe_shiftproject,ndcg_linear@5,80.07,84.35,84.14,+0.21
visdoc,ViDoRe_syntheticDocQA_artificial_intelligence,ndcg_linear@5,96.42,98.52,99.26,-0.74
